"This file contain descriptions for each gene"  

gene_1	hypothetical protein FLJ22624
gene_551	gelsolin (amyloidosis, Finnish type)
gene_552	gap junction protein, beta 2, 26kD (connexin 26)
gene_553	estrogen receptor 1
gene_554	calpain 1, (mu/I) large subunit
gene_555	guanylate binding protein 1, interferon-inducible, 67kD
gene_556	cyclin A2
gene_557	**prostate differentiation factor
gene_558	LBP protein 32
gene_559	Human DNA sequence from clone RP1-304B14 on chromosome 6. Contains a gene for a novel protein and a part of a gene for a novel protein with two isoforms. Contains ESTs, STSs, GSSs and a CpG island
gene_560	KIAA1002 protein
gene_561	Homo sapiens cDNA: FLJ21278 fis, clone COL01832
gene_562	hypothetical protein AF053356-CDS2
gene_563	CD9 antigen (p24)
gene_564	spondin 1, (f-spondin) extracellular matrix protein
gene_565	cystatin B (stefin B)
gene_566	KIAA0417 gene product
gene_567	KIAA0300 protein
gene_568	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
gene_569	secreted frizzled-related protein 4
gene_570	Homo sapiens mRNA; cDNA DKFZp564O2364 (from clone DKFZp564O2364)
gene_571	chromosome 5 open reading frame 4
gene_572	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
gene_573	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
gene_574	squalene epoxidase
gene_575	alpha-fetoprotein
gene_576	glycoprotein A repetitions predominant
gene_577	calcium channel, voltage-dependent, alpha 2/delta subunit 2
gene_578	transcription factor 8 (represses interleukin 2 expression)
gene_579	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
gene_580	ectodermal-neural cortex (with BTB-like domain)
gene_581	B-factor, properdin
gene_582	GTP-binding protein overexpressed in skeletal muscle
gene_583	**ESTs, Weakly similar to I38022 hypothetical protein [H.sapiens]
gene_584	acid sphingomyelinase-like phosphodiesterase
gene_585	ESTs
gene_587	small inducible cytokine A4 (homologous to mouse Mip-1b)
gene_588	trinucleotide repeat containing 3
gene_589	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)
gene_590	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide
gene_591	uncharacterized hypothalamus protein HCDASE
gene_592	arginine vasopressin receptor 1A
gene_593	transcription factor 7 (T-cell specific, HMG-box)
gene_594	KIAA1157 protein
gene_595	transmembrane 4 superfamily member 1
gene_596	karyopherin alpha 6 (importin alpha 7)
gene_597	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)
gene_598	KIAA1685 protein
gene_599	cathepsin E
gene_600	**protein tyrosine phosphatase, non-receptor type 11
gene_601	interleukin 1 receptor, type I
gene_602	coagulation factor II (thrombin)
gene_603	follistatin-like 1
gene_604	collagen, type VI, alpha 2
gene_605	phosphatidic acid phosphatase type 2B
gene_606	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)
gene_607	chitinase 3-like 2
gene_608	centromere protein F (350/400kD, mitosin)
gene_609	hypothetical protein FLJ14529
gene_610	uncoupling protein 2 (mitochondrial, proton carrier)
gene_611	cell adhesion molecule with homology to L1CAM (close homologue of L1)
gene_612	butyrophilin, subfamily 3, member A3
gene_613	RNA cyclase homolog
gene_614	keratin 8
gene_615	v-maf musculoaponeurotic fibrosarcoma (avian) oncogene homolog
gene_616	Homo sapiens PRO1851 mRNA, complete cds
gene_617	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
gene_618	tumor-associated calcium signal transducer 1
gene_619	UDP glycosyltransferase 2 family, polypeptide B4
gene_620	endothelin converting enzyme 1
gene_621	transcription factor AP-2 gamma (activating enhancer-binding protein 2 gamma)
gene_622	solute carrier family 34 (sodium phosphate), member 2
gene_623	myo-inositol 1-phosphate synthase A1
gene_624	N-acetyltransferase 1 (arylamine N-acetyltransferase)
gene_625	proliferation-associated 2G4, 38kD
gene_626	asporin (LRR class 1)
gene_627	CD24 antigen (small cell lung carcinoma cluster 4 antigen)
gene_628	collagen, type V, alpha 1
gene_629	KIAA0042 gene product
gene_630	interferon induced transmembrane protein 1 (9-27)
gene_631	ESTs
gene_632	complement component 4B
gene_633	endothelin 1
gene_634	tumor rejection antigen (gp96) 1
gene_635	B/K protein
gene_636	ESTs
gene_637	KIAA1238 protein
gene_638	minichromosome maintenance deficient (S. cerevisiae) 5 (cell division cycle 46)
gene_639	complement component 3a receptor 1
gene_640	Homo sapiens cDNA: FLJ22425 fis, clone HRC08686
gene_641	retinoic acid receptor responder (tazarotene induced) 2
gene_642	ESTs
gene_643	B-factor, properdin
gene_644	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)
gene_645	cell division cycle 2-like 1 (PITSLRE proteins)
gene_646	hypothetical protein AL110115
gene_647	junction plakoglobin
gene_648	bactericidal/permeability-increasing protein
gene_649	activating transcription factor 3
gene_650	I factor (complement)
gene_651	hemochromatosis
gene_652	growth factor receptor-bound protein 7
gene_653	S100 calcium-binding protein A1
gene_654	adenosine A2b receptor
gene_655	lymphocyte cytosolic protein 1 (L-plastin)
gene_656	polo (Drosophia)-like kinase
gene_657	discs, large (Drosophila) homolog 5
gene_658	pleiomorphic adenoma gene-like 1
gene_659	RAP1, GTPase activating protein 1
gene_660	budding uninhibited by benzimidazoles 1 (yeast homolog)
gene_661	mal, T-cell differentiation protein
gene_662	J domain containing protein 1
gene_663	sal (Drosophila)-like 2
gene_664	peroxisome proliferative activated receptor, gamma
gene_665	Fc fragment of IgG, low affinity IIa, receptor for (CD32)
gene_666	platelet-derived growth factor receptor, alpha polypeptide
gene_667	myosin, light polypeptide kinase
gene_668	hypothetical protein FLJ10980
gene_669	H2A histone family, member L
gene_670	CDC20 (cell division cycle 20, S. cerevisiae, homolog)
gene_671	small nuclear ribonucleoprotein polypeptide B''
gene_672	basonuclin
gene_673	integrin, alpha M (complement component receptor 3, alpha; also known as CD11b (p170), macrophage antigen alpha polypeptide)
gene_674	major histocompatibility complex, class II, DR beta 1
gene_675	gap junction protein, beta 1, 32kD (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)
gene_676	claudin 4
gene_677	**Homo sapiens cDNA FLJ20042 fis, clone COL00424
gene_678	crystallin, alpha B
gene_679	coronin, actin-binding protein, 1A
gene_680	platelet/endothelial cell adhesion molecule (CD31 antigen)
gene_681	protein kinase (cAMP-dependent, catalytic) inhibitor beta
gene_682	polymerase (RNA) III (DNA directed) polypeptide K (12.3 kDa)
gene_683	chromosome X open reading frame 6
gene_684	Human endogenous retrovirus envelope region mRNA (PL1)
gene_685	musculin (activated B-cell factor-1)
gene_686	KIAA0143 protein
gene_687	SNARE protein
gene_688	integrin, alpha 6
gene_689	intercellular adhesion molecule 3
gene_690	metallothionein 1H
gene_691	laminin, alpha 4
gene_692	interleukin 15
gene_694	ESTs
gene_695	collagen, type IV, alpha 1
gene_696	coactosin-like protein
gene_697	collagen, type VI, alpha 3
gene_698	cyclin F
gene_699	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5
gene_700	**colony stimulating factor 2 (granulocyte-macrophage)
gene_701	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)
gene_702	**melanoma cell adhesion molecule
gene_703	claudin 4
gene_704	LPS-induced TNF-alpha factor
gene_705	transforming growth factor, beta receptor II (70-80kD)
gene_706	cathepsin D (lysosomal aspartyl protease)
gene_707	chemokine (C-C motif) receptor 2
gene_708	purinergic receptor (family A group 5)
gene_709	dedicator of cyto-kinesis 2
gene_710	forkhead box O1A (rhabdomyosarcoma)
gene_711	dual specificity phosphatase 4
gene_712	major histocompatibility complex, class II, DR beta 5
gene_713	transcription factor AP-2 alpha (activating enhancer-binding protein 2 alpha)
gene_714	**ESTs
gene_715	prostate cancer associated protein 1
gene_716	integrin, alpha 6
gene_717	cystatin A (stefin A)
gene_718	small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je)
gene_719	phospholipase C, beta 2
gene_720	topoisomerase (DNA) II alpha (170kD)
gene_721	gamma-aminobutyric acid (GABA) A receptor, epsilon
gene_722	ESTs
gene_723	**immunoglobulin lambda locus
gene_724	doublecortin and CaM kinase-like 1
gene_725	major histocompatibility complex, class II, DQ beta 1
gene_726	neuronal pentraxin I
gene_727	ESTs
gene_728	**small inducible cytokine subfamily A (Cys-Cys), member 14
gene_730	amine oxidase, copper containing 3 (vascular adhesion protein 1)
gene_731	eukaryotic translation initiation factor 1A, Y chromosome
gene_732	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)
gene_733	solute carrier family 15 (H+/peptide transporter), member 2
gene_734	dihydropyrimidinase-like 3
gene_735	GATA-binding protein 3
gene_736	microtubule-associated protein 1B
gene_737	ESTs
gene_738	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
gene_739	SEC15 (S. cerevisiae)-like
gene_740	insulin-like growth factor 2 (somatomedin A)
gene_741	microtubule-associated protein like echinoderm EMAP
gene_742	thymidylate synthetase
gene_743	stearoyl-CoA desaturase (delta-9-desaturase)
gene_744	PAI-1 mRNA-binding protein
gene_745	hypothetical protein FLJ22662
gene_746	manic fringe (Drosophila) homolog
gene_747	**clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)
gene_748	disabled (Drosophila) homolog 2 (mitogen-responsive phosphoprotein)
gene_749	plasminogen activator, tissue
gene_750	solute carrier family 10 (sodium/bile acid cotransporter family), member 1
gene_751	endothelial PAS domain protein 1
gene_752	Snf2-related CBP activator protein
gene_753	**PI-3-kinase-related kinase SMG-1
gene_754	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
gene_755	golgi autoantigen, golgin subfamily a, 3
gene_756	KIAA1488 protein
gene_757	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
gene_758	early growth response 2 (Krox-20 (Drosophila) homolog)
gene_759	putative G protein-coupled receptor
gene_760	FXYD domain-containing ion transport regulator 1 (phospholemman)
gene_761	hematopoietic protein 1
gene_762	KIAA0758 protein
gene_763	H factor (complement)-like 1
gene_764	**biliverdin reductase B (flavin reductase (NADPH))
gene_765	tumor protein p53 (Li-Fraumeni syndrome)
gene_767	major histocompatibility complex, class I, C
gene_768	ribonucleotide reductase M1 polypeptide
gene_769	neuregulin 1
gene_770	protein tyrosine phosphatase, receptor type, K
gene_771	collagen, type I, alpha 1
gene_772	immunoglobulin heavy constant gamma 3 (G3m marker)
gene_773	moesin
gene_774	small inducible cytokine subfamily D (Cys-X3-Cys), member 1 (fractalkine, neurotactin)
gene_775	thyroid hormone receptor-associated protein, 240 kDa subunit
gene_776	lymphoid nuclear protein related to AF4
gene_777	ESTs, Weakly similar to T26845 hypothetical protein Y43F4B.7 - Caenorhabditis elegans [C.elegans]
gene_778	ESTs, Weakly similar to TRHY_HUMAN TRICHOHYALI [H.sapiens]
gene_779	lectin, galactoside-binding, soluble, 7 (galectin 7)
gene_780	hexabrachion (tenascin C, cytotactin)
gene_781	calpain 2, (m/II) large subunit
gene_782	ESTs, Weakly similar to 1207289A reverse transcriptase related protein [H.sapiens]
gene_783	integrin, beta 5
gene_784	slug (chicken homolog), zinc finger protein
gene_785	fatty acid binding protein 4, adipocyte
gene_786	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)
gene_787	ESTs
gene_788	diubiquitin
gene_789	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)
gene_790	polymerase (DNA directed), epsilon
gene_791	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2
gene_792	major histocompatibility complex, class II, DR beta 5
gene_793	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3
gene_794	LBP protein 32
gene_795	fragile X mental retardation, autosomal homolog 1
gene_796	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
gene_797	hypothetical protein FLJ11252
gene_798	CGI-109 protein
gene_799	hypothetical protein FLJ10337
gene_800	v-fos FBJ murine osteosarcoma viral oncogene homolog
gene_801	**milk fat globule-EGF factor 8 protein
gene_802	protein disulfide isomerase related protein (calcium-binding protein, intestinal-related)
gene_803	Homo sapiens, Similar to RIKEN cDNA 2010317E24 gene, clone IMAGE:3502019, mRNA, partial cds
gene_804	retinal short-chain dehydrogenase/reductase retSDR2
gene_805	MHC class I region ORF
gene_806	plasminogen
gene_807	WAP four-disulfide core domain 2
gene_808	**ubiquitin-protein ligase NEDD4-like
gene_809	multifunctional polypeptide similar to SAICAR synthetase and AIR carboxylase
gene_810	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)
gene_811	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)
gene_812	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)
gene_813	hypothetical protein
gene_814	tryptophanyl-tRNA synthetase
gene_815	chondroitin sulfate proteoglycan 2 (versican)
gene_816	eyes absent (Drosophila) homolog 2
gene_817	low density lipoprotein-related protein 2
gene_818	sulfotransferase family, cytosolic, 2B, member 1
gene_819	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)
gene_820	stearoyl-CoA desaturase (delta-9-desaturase)
gene_821	antigen identified by monoclonal antibody MRC OX-2
gene_822	Human endogenous retrovirus envelope region mRNA (PL1)
gene_823	elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)
gene_824	ESTs, Weakly similar to FMOD_HUMAN FIBROMODULIN PRECURSOR [H.sapiens]
gene_825	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
gene_826	serine protease inhibitor, Kunitz type, 2
gene_827	vascular cell adhesion molecule 1
gene_828	carboxypeptidase A4
gene_829	hypothetical protein
gene_830	cystatin C (amyloid angiopathy and cerebral hemorrhage)
gene_831	trinucleotide repeat containing 3
gene_832	hypothetical protein FLJ12666
gene_833	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 4
gene_834	calcium channel, voltage-dependent, L type, alpha 1D subunit
gene_835	ESTs, Weakly similar to 2004399A chromosomal protein [H.sapiens]
gene_836	aquaporin 7
gene_837	collagen, type XVII, alpha 1
gene_838	vimentin
gene_839	major histocompatibility complex, class II, DQ beta 1
gene_840	hypothetical protein FLJ12684
gene_841	adipose differentiation-related protein
gene_842	hypothetical protein FLJ14735
gene_843	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
gene_844	TONDU
gene_845	prostate cancer overexpressed gene 1
gene_846	phosphoserine phosphatase
gene_847	topoisomerase (DNA) II alpha (170kD)
gene_848	x 001 protein
gene_849	DNA segment, single copy probe LNS-CAI/LNS-CAII (deleted in polyposis
gene_850	thrombospondin 1
gene_851	beta-2-microglobulin
gene_852	tumor necrosis factor, alpha-induced protein 6
gene_853	AD036 protein
gene_854	hypothetical protein PRO1331
gene_855	Rac/Cdc42 guanine exchange factor (GEF) 6
gene_856	hypothetical protein MGC5618
gene_857	KIAA0290 protein
gene_858	fatty acid binding protein 1, liver
gene_859	thrombospondin 1
gene_860	nonselective sodium potassium/proton exchanger
gene_861	ESTs
gene_862	KIAA1391 protein
gene_863	hypothetical protein
gene_864	upregulated by 1,25-dihydroxyvitamin D-3
gene_865	KIAA0442 protein
gene_866	karyopherin beta 2b, transportin
gene_867	neuronal pentraxin II
gene_868	bone morphogenetic protein 7 (osteogenic protein 1)
gene_869	Meis (mouse) homolog 2
gene_870	**hypothetical protein 24636
gene_871	inositol 1,4,5-trisphosphate 3-kinase C
gene_872	lactotransferrin
gene_873	nerve growth factor receptor (TNFR superfamily, member 16)
gene_874	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)
gene_875	runt-related transcription factor 3
gene_876	matrix Gla protein
gene_877	protein kinase C, beta 1
gene_878	nerve growth factor receptor (TNFRSF16) associated protein 1
gene_879	solute carrier family 26 (sulfate transporter), member 2
gene_880	transcription factor AP-2 beta (activating enhancer-binding protein 2 beta)
gene_881	chromosome 18 open reading frame 1
gene_882	monoamine oxidase B
gene_883	v-myb avian myeloblastosis viral oncogene homolog
gene_884	interferon, alpha-inducible protein (clone IFI-6-16)
gene_885	N-acetyltransferase 1 (arylamine N-acetyltransferase)
gene_886	cytochrome P450, subfamily IIB (phenobarbital-inducible), polypeptide 6
gene_887	stanniocalcin 1
gene_888	fibrinogen-like 1
gene_889	CD1D antigen, d polypeptide
gene_890	thyroid hormone receptor interactor 8
gene_891	hypothetical protein MGC10500
gene_892	ESTs
gene_893	downregulated in ovarian cancer 1
gene_894	nucleosome assembly protein 1-like 3
gene_895	tyrosinase (oculocutaneous albinism IA)
gene_896	actin, alpha 2, smooth muscle, aorta
gene_897	HSPC022 protein
gene_898	ESTs, Weakly similar to IRX2_HUMAN IROQUOIS-CLASS HOMEODOMAIN PROTEIN IRX-2 [H.sapiens]
gene_899	ortholog of mouse integral membrane glycoprotein LIG-1
gene_900	interleukin 1 receptor-like 1
gene_901	tissue factor pathway inhibitor 2
gene_903	Homo sapiens clone TCCCTA00151 mRNA sequence
gene_904	lipoprotein lipase
gene_905	EphB3
gene_906	zinc finger protein 217
gene_907	four and a half LIM domains 1
gene_908	tachykinin, precursor 1 (substance K, substance P, neurokinin 1, neurokinin 2, neuromedin L, neurokinin alpha, neuropeptide K,neuropeptide gamma)
gene_909	p8 protein (candidate of metastasis 1)
gene_910	protein tyrosine phosphatase, non-receptor type 14
gene_911	ESTs, Highly similar to T46395 hypothetical protein DKFZp434I1120.1 [H.sapiens]
gene_912	integral membrane protein 2A
gene_913	latrophilin
gene_914	ESTs, Weakly similar to CGHU7L collagen alpha 1(III) chain precursor [H.sapiens]
gene_915	cell division cycle 25B
gene_916	proteoglycan 1, secretory granule
gene_917	chemokine (C-X-C motif), receptor 4 (fusin)
gene_918	von Willebrand factor
gene_919	N-acetyltransferase, homolog of S. cerevisiae ARD1
gene_920	secretory leukocyte protease inhibitor (antileukoproteinase)
gene_921	cyclin-dependent kinase 5, regulatory subunit 1 (p35)
gene_922	serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1
gene_923	bromodomain adjacent to zinc finger domain, 2B
gene_924	amylo-1,6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)
gene_925	membrane-spanning 4-domains, subfamily A, member 7
gene_926	golgin-67
gene_927	nicotinamide nucleotide transhydrogenase
gene_928	dihydropyrimidine dehydrogenase
gene_929	protein C receptor, endothelial (EPCR)
gene_930	phosphodiesterase 4B, cAMP-specific (dunce (Drosophila)-homolog phosphodiesterase E4)
gene_931	chromosome 9 open reading frame 5
gene_932	neuroblastoma, suppression of tumorigenicity 1
gene_933	adrenergic, alpha-2A-, receptor
gene_934	membrane protein, palmitoylated 1 (55kD)
gene_935	apolipoprotein C-II
gene_936	CD8 antigen, alpha polypeptide (p32)
gene_937	chaperonin containing TCP1, subunit 5 (epsilon)
gene_938	macrophage receptor with collagenous structure
gene_939	**Homo sapiens cDNA FLJ14296 fis, clone PLACE1008455
gene_940	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)
gene_941	ribonucleotide reductase M2 polypeptide
gene_942	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7
gene_943	small inducible cytokine subfamily A (Cys-Cys), member 18, pulmonary and activation-regulated
gene_944	Fc fragment of IgG, low affinity IIb, receptor for (CD32)
gene_945	ESTs, Weakly similar to T48683 hypothetical protein DKFZp761G0313.1 [H.sapiens]
gene_946	nucleolar protein 1 (120kD)
gene_947	lipopolysaccharide-binding protein
gene_948	wingless-type MMTV integration site family member 2
gene_949	purinergic receptor (family A group 5)
gene_950	tumor necrosis factor, alpha-induced protein 2
gene_951	Homo sapiens clone 24841 mRNA sequence
gene_952	FK506-binding protein 5
gene_953	aldehyde dehydrogenase 7 family, member A1
gene_954	KIAA0303 protein
gene_955	protein kinase, cAMP-dependent, catalytic, beta
gene_956	spleen tyrosine kinase
gene_957	plasminogen activator, urokinase
gene_958	Homo sapiens, Similar to complement component 1, q subcomponent, c polypeptide, clone MGC:17279 IMAGE:4212772, mRNA, complete cds
gene_959	**PTK7 protein tyrosine kinase 7
gene_960	**eukaryotic translation initiation factor 2B, subunit 3 (gamma, 58kD)
gene_961	forkhead box C1
gene_962	TYRO protein tyrosine kinase binding protein
gene_963	centromere protein E (312kD)
gene_964	ceruloplasmin (ferroxidase)
gene_965	hypothetical protein FLJ20363
gene_966	tyrosine kinase with immunoglobulin and epidermal growth factor homology domains
gene_967	iroquois homeobox protein 5
gene_968	LIM domain binding 2
gene_969	DNA segment on chromosome X and Y (unique) 155 expressed sequence
gene_970	phosphatidic acid phosphatase type 2B
gene_971	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
gene_972	integrin, beta 4
gene_973	testis derived transcript (3 LIM domains)
gene_974	CD36 antigen (collagen type I receptor, thrombospondin receptor)
gene_975	fucosidase, alpha-L- 1, tissue
gene_976	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (S.cerevisiae CHL1-like helicase)
gene_977	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)
gene_978	Homo sapiens, Similar to Nedd-4-like ubiquitin-protein ligase, clone MGC:2079 IMAGE:3508225, mRNA, complete cds
gene_979	activated leucocyte cell adhesion molecule
gene_980	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)
gene_981	platelet-derived growth factor receptor-like
gene_982	cytochrome P450, subfamily XXIV (vitamin D 24-hydroxylase)
gene_983	thymosin, beta, identified in neuroblastoma cells
gene_984	tumor necrosis factor receptor superfamily, member 10b
gene_985	EST
gene_986	endothelin receptor type B
gene_987	Homo sapiens mRNA; cDNA DKFZp434B0425 (from clone DKFZp434B0425)
gene_988	CD8 antigen, beta polypeptide 1 (p37)
gene_989	ESTs
gene_990	ets variant gene 5 (ets-related molecule)
gene_991	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)
gene_992	**clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)
gene_993	ephrin-B1
gene_994	cutaneous T-cell lymphoma tumor antigen se70-2
gene_995	interleukin 1 receptor, type I
gene_996	KIAA1238 protein
gene_997	hypothetical protein FLJ14464
gene_998	interleukin 1, beta
gene_999	regulator of G-protein signalling 4
gene_1000	hypothetical protein FLJ21065
